City,Country,Max_Temp,Weather_Description,Lat,Lng,Hotel_Name
Rikitea,PF,75.69,overcast clouds,-23.1203,-134.9692,Chez Bianca & Benoit
Kapaa,US,78.78,broken clouds,22.0752,-159.319,Pono Kai Resort
Sal Rei,CV,75.4,broken clouds,16.1833,-22.9167,Hotel Marine Club
Chuy,UY,73.78,overcast clouds,-33.6971,-53.4616,Alerces
Hilo,US,79.95,broken clouds,19.7297,-155.09,Dolphin Bay Hotel
Mahebourg,MU,73.26,clear sky,-20.4081,57.7,Grand Bel Air
Banjar,ID,75.04,clear sky,-8.19,114.9675,Villa Banjar Beach
Bethel,US,79.63,clear sky,41.3712,-73.414,Hampton Inn Danbury
Kloulklubed,PW,77.5,overcast clouds,7.0419,134.2556,The Adventures Inn
Mitsamiouli,KM,79.36,few clouds,-11.3847,43.2844,Hotel le Paradis
Kavieng,PG,79.43,moderate rain,-2.5744,150.7967,Kavieng Hotel
Nueve De Julio,AR,72.97,scattered clouds,-35.4444,-60.8831,Hotel Madrid
Paramonga,PE,74.19,scattered clouds,-10.6667,-77.8333,Hotel Rico
Honiara,SB,77.29,few clouds,-9.4333,159.95,King Solomon Hotel
Rio Cuarto,AR,74.34,scattered clouds,-33.1307,-64.3499,Marluc
Atar,MR,73.56,light rain,20.5169,-13.0499,فندق سكليل
Sao Filipe,CV,73.27,overcast clouds,14.8961,-24.4956,Bela Vista
Souillac,MU,73.81,clear sky,-20.5167,57.5167,Hotel SkylineInn
Namatanai,PG,75.76,heavy intensity rain,-3.6667,152.4333,Namatanai Hotel
Bengkulu,ID,75.97,few clouds,-3.8004,102.2655,Dena Hotel
Avarua,CK,78.85,overcast clouds,-21.2078,-159.775,Paradise Inn
Lejanias,CO,77.36,overcast clouds,3.5251,-74.0216,Hel llano real
Kirando,TZ,77.11,broken clouds,-7.4167,30.6,Lakeshore Lodge
Caravelas,BR,72.93,clear sky,-17.7125,-39.2481,Pousada dos Navegantes
Nabire,ID,76.32,overcast clouds,-3.3667,135.4833,Hotel Anggrek
Denpasar,ID,78.46,few clouds,-8.65,115.2167,Hotel Candra Adiguna
Saint Anthony,US,77.31,clear sky,45.0205,-93.218,Delta Hotels by Marriott
Cascais,PT,74.55,few clouds,38.6979,-9.4215,Cascais Hotel
Sao Joao Da Barra,BR,78.89,clear sky,-21.6403,-41.0511,Pousada Mediterrâneo
Kawalu,ID,72.75,overcast clouds,-7.3817,108.2082,Hotel Surya
Bambanglipuro,ID,77.05,broken clouds,-7.95,110.2833,Puri Ganjuran
Rio Grande,BR,78.91,overcast clouds,-32.035,-52.0986,Hotel Vila Moura Executivo
Quatre Cocos,MU,73.09,clear sky,-20.2078,57.7625,Horisun
Dasoguz,TM,73.35,clear sky,41.8363,59.9666,Şabat Hotel
Victoria,HK,79.2,broken clouds,22.2855,114.1577,四季酒店 Four Seasons Hotel
Grand Gaube,MU,73.38,clear sky,-20.0064,57.6608,Coco Villa
Benghazi,LY,76.62,clear sky,32.1167,20.0667,ترجاب
Gorontalo,ID,75.61,light rain,0.5412,123.0595,Grand City Hotel
Maumere,ID,78.33,broken clouds,-8.6199,122.2111,Bogor
Lao Cai,VN,76.55,overcast clouds,22.4833,103.95,Bảo Son Hotel
Tutoia,BR,79.88,overcast clouds,-2.7619,-42.2744,Pousada San Vicente
Dzaoudzi,YT,78.69,few clouds,-12.7887,45.2699,2.0 hôtel
Moratuwa,LK,78.82,few clouds,6.773,79.8816,Frankfort House - Reception Hall
Hualmay,PE,74.41,scattered clouds,-11.0964,-77.6139,Hotel Mi Choacan
Jacksonville Beach,US,79.03,overcast clouds,30.2947,-81.3931,Margaritaville Beach Hotel
Mindelo,CV,74.75,light rain,16.8901,-24.9804,Solar Windelo
Pontianak,ID,78.78,overcast clouds,-0.0333,109.3333,Golden Tulip Hotel
Luanda,AO,78.8,scattered clouds,-8.8368,13.2343,Hotel Forum
Diego De Almagro,CL,75.51,clear sky,-26.3667,-70.05,Residencial Hambyll
Creel,MX,76.19,clear sky,27.75,-107.6333,Hotel Cascada inn
Pumiao,CN,73.8,overcast clouds,22.75,108.4833,三丰酒店
Meulaboh,ID,77.45,broken clouds,4.1363,96.1285,Hotel Meuligou
Maragogi,BR,77.45,clear sky,-9.0122,-35.2225,Pousada Mariluz
Westport,US,78.94,clear sky,41.1415,-73.3579,Norwalk Inn and Conference Center
Fuquay-Varina,US,79.48,overcast clouds,35.5843,-78.8,Quality Inn
Madingou,CG,76.87,overcast clouds,-4.1536,13.55,Résidence Laurel
Makat,KZ,74.82,clear sky,47.6469,53.3463,Гостиница ЛПУ Макат
Pangkalanbuun,ID,74.75,overcast clouds,-2.6833,111.6167,Hotel Tiara
Grafton,US,77.52,clear sky,42.207,-71.6856,Grafton Inn
Vila Velha,BR,78.75,few clouds,-20.3297,-40.2925,Hotel Prainha
Beyneu,KZ,74.55,overcast clouds,45.3167,55.2,Johan yu
Ambulu,ID,73.99,clear sky,-8.345,113.6058,Hotel Ambulu
Lorengau,PG,78.84,overcast clouds,-2.0226,147.2712,Seeadler Bay Hotel
Sunyani,GH,77.97,broken clouds,7.3399,-2.3268,Eusbett Hotel
Johnstown,US,79.41,few clouds,40.3267,-78.922,Holiday Inn
Ishigaki,JP,77.13,overcast clouds,24.3448,124.1572,アートホテル石垣島
Hermiston,US,74.19,clear sky,45.8404,-119.2895,Holiday Inn Express & Suites;Holiday Inn Express & Suites Hermiston Downtown
Sibolga,ID,76.5,broken clouds,1.7427,98.7792,Hotel Prima Indah
Praia,CV,77.54,scattered clouds,14.9215,-23.5087,Casa Sodadi
Prado,BR,73.29,clear sky,-17.3411,-39.2208,Pousada Recanto do Prado
Jacksonville,US,79.02,overcast clouds,30.3322,-81.6556,Hyatt Regency Jacksonville Riverfront
Garissa,KE,78.94,scattered clouds,-0.4536,39.6401,Hiddig Hotel
Amuntai,ID,73.04,light rain,-2.4177,115.2494,Grand Balqis Hotel
Ambanja,MG,73.17,few clouds,-13.6833,48.45,Hôtel Salama Rose
Touros,BR,79.56,scattered clouds,-5.1989,-35.4608,Pousada Atlântico
Mae Hong Son,TH,75.38,few clouds,19.3003,97.9685,The Like View
Daru,PG,77.38,overcast clouds,-9.0763,143.2092,Kuki
Pisco,PE,75.25,clear sky,-13.7,-76.2167,La Portada
Marechal Candido Rondon,BR,72.77,clear sky,-24.5561,-54.0567,Hotel Danúbio
Banjarmasin,ID,77.14,broken clouds,-3.3244,114.591,Hotel Grand Mentari
Cap Malheureux,MU,74.46,clear sky,-19.9842,57.6142,Cape Garden
San Vicente,AR,74.57,clear sky,-26.6167,-54.1333,Los Lapachos
Sibu,MY,73.04,overcast clouds,2.3,111.8167,The Paramount Hotel
Millbrook,US,78.21,overcast clouds,32.4799,-86.3619,Sleep Inn
Marsh Harbour,BS,79.47,overcast clouds,26.5412,-77.0636,Lofty Fig Villas
Paita,PE,79.03,scattered clouds,-5.0892,-81.1144,Victor's
Onalaska,US,75.25,clear sky,43.8844,-91.2351,Comfort Inn & Suites
Wewak,PG,78.13,moderate rain,-3.5534,143.6268,Village Inn
Huarmey,PE,76.14,scattered clouds,-10.0681,-78.1522,Hostal Santa Rosa
Kikwit,CD,74.82,few clouds,-5.041,18.8162,Grand Hôtel de Kikwit
Sampit,ID,73.94,overcast clouds,-2.5333,112.95,Hotel Sultan
Dire Dawa,ET,74.05,broken clouds,9.5931,41.8661,Adis Abeba
Kapit,MY,73.72,overcast clouds,2.0167,112.9333,Haip
Nago,JP,74.25,broken clouds,26.5881,127.9761,グリーンリッチホテル
Son Tay,VN,76.93,overcast clouds,21.1378,105.505,Nhà Của Huy
Loubomo,CG,73.9,overcast clouds,-4.1997,12.6739,Residence Nelson
