City,Country,Lat,Lng,Max_Temp,Humidity,Cloudiness,Wind_Speed,Weather_Description
New Norfolk,AU,-42.7826,147.0587,63.91,56,20,3.0,moderate rain
San Martin,AR,-33.081,-68.4681,68.54,49,40,5.93,scattered clouds
Dikson,RU,73.5069,80.5464,30.38,85,100,18.14,overcast clouds
Vaini,TO,-21.2,-175.2,71.76,83,75,4.61,broken clouds
Nerchinskiy Zavod,RU,51.3088,119.61,49.1,58,100,7.56,heavy intensity rain
Cape Town,ZA,-33.9258,18.4232,61.38,83,75,14.97,light rain
Vardo,NO,70.3705,31.1107,51.78,62,0,19.57,clear sky
Tabou,CI,4.423,-7.3528,80.56,87,100,9.06,light rain
Puerto Ayora,EC,-0.7393,-90.3518,85.96,85,16,7.0,few clouds
Ponta Do Sol,PT,32.6667,-17.1,68.72,72,54,4.7,broken clouds
Rikitea,PF,-23.1203,-134.9692,75.69,68,86,2.48,overcast clouds
Saiha,IN,22.4833,92.9667,66.78,98,60,2.95,broken clouds
Kapaa,US,22.0752,-159.319,78.78,81,75,18.41,broken clouds
Port Elizabeth,ZA,-33.918,25.5701,63.32,57,0,4.61,clear sky
Kanye,BW,-24.9667,25.3327,60.58,46,3,6.51,clear sky
Tuktoyaktuk,CA,69.4541,-133.0374,32.43,92,100,10.38,overcast clouds
Sal Rei,CV,16.1833,-22.9167,75.4,73,75,18.41,broken clouds
Axim,GH,4.8699,-2.2405,80.31,86,100,6.89,overcast clouds
Mataura,NZ,-46.1927,168.8643,48.85,88,100,3.56,overcast clouds
Tuatapere,NZ,-46.1333,167.6833,48.94,94,25,5.28,scattered clouds
Pangody,RU,65.85,74.4859,35.67,78,0,8.05,clear sky
Hervey Bay,AU,-25.2986,152.8535,60.82,81,0,10.4,clear sky
Atuona,PF,-9.8,-139.0333,81.0,79,8,10.96,clear sky
Silvania,BR,-16.6589,-48.6081,78.91,39,0,6.42,clear sky
Talcahuano,CL,-36.7167,-73.1167,56.88,88,75,6.91,broken clouds
Fuerte Olimpo,PY,-21.0415,-57.8738,91.92,25,0,10.85,clear sky
Mar Del Plata,AR,-38.0023,-57.5575,62.62,95,75,5.75,broken clouds
Chuy,UY,-33.6971,-53.4616,73.78,66,100,7.65,overcast clouds
Barrow,US,71.2906,-156.7887,23.02,86,100,12.66,overcast clouds
Okha,RU,53.5739,142.9478,38.53,96,100,8.34,overcast clouds
Hasaki,JP,35.7333,140.8333,57.22,60,100,2.15,overcast clouds
Chietla,MX,18.5167,-98.5833,91.58,36,85,4.23,overcast clouds
Esperance,AU,-33.8667,121.9,58.17,60,100,24.92,overcast clouds
Hermanus,ZA,-34.4187,19.2345,59.81,64,3,10.92,clear sky
Pokosnoye,RU,55.5258,101.0536,36.39,88,100,14.25,overcast clouds
Kaisiadorys,LT,54.8667,24.45,64.96,65,92,1.99,overcast clouds
Guerrero Negro,MX,27.9769,-114.0611,67.8,55,17,13.22,few clouds
Simbahan,PH,6.3032,120.5836,82.11,75,100,4.09,overcast clouds
Bonthe,SL,7.5264,-12.505,83.14,78,100,5.37,overcast clouds
Hilo,US,19.7297,-155.09,79.95,80,75,5.75,broken clouds
Ushuaia,AR,-54.8,-68.3,42.42,87,100,5.75,light rain
Bandarbeyla,SO,9.4942,50.8122,82.35,77,64,21.05,moderate rain
Albany,US,42.6001,-73.9662,69.8,81,70,5.01,broken clouds
Qaanaaq,GL,77.484,-69.3632,28.02,86,100,2.51,light snow
Tura,IN,25.5198,90.2201,71.22,76,4,4.05,clear sky
Provideniya,RU,64.3833,-173.3,37.31,87,100,2.55,overcast clouds
Saint-Francois,FR,46.4154,3.9054,62.04,46,0,10.36,clear sky
Mahebourg,MU,-20.4081,57.7,73.26,76,6,4.38,clear sky
Umm Lajj,SA,25.0213,37.2685,83.53,54,0,8.25,clear sky
Lakes Entrance,AU,-37.8811,147.981,47.16,66,100,9.15,overcast clouds
Nouadhibou,MR,20.931,-17.0347,69.78,68,100,16.11,overcast clouds
Progreso,MX,21.2833,-89.6667,96.91,58,0,11.88,clear sky
Visby,SE,57.6409,18.296,64.62,48,0,11.5,clear sky
Bredasdorp,ZA,-34.5322,20.0403,55.45,71,0,4.92,clear sky
Road Town,VG,18.4167,-64.6167,84.24,74,40,9.22,scattered clouds
Banjar,ID,-8.19,114.9675,75.04,90,4,4.07,clear sky
